Game Number,Player 1 Score,Player 2 Score,Player 2 Win
1,16,48,1
2,33,31,0
3,34,30,0
4,30,34,1
5,35,29,0
6,21,43,1
7,41,23,0
8,28,36,1
9,16,48,1
10,11,53,1
11,18,46,1
12,37,27,0
13,38,26,0
14,28,36,1
15,39,25,0
16,38,26,0
17,14,50,1
18,38,26,0
19,29,35,1
20,54,10,0
21,29,35,1
22,42,22,0
23,48,16,0
24,25,39,1
25,35,29,0
26,20,44,1
27,18,46,1
28,21,42,1
29,18,46,1
30,23,41,1
31,37,27,0
32,48,16,0
33,34,30,0
34,25,39,1
35,24,40,1
36,19,45,1
37,8,56,1
38,35,29,0
39,13,51,1
40,15,49,1
41,28,36,1
42,46,18,0
43,43,21,0
44,14,50,1
45,16,48,1
46,46,18,0
47,34,30,0
48,39,25,0
49,0,51,1
50,22,42,1
51,27,37,1
52,54,10,0
53,28,36,1
54,39,25,0
55,30,34,1
56,8,56,1
57,22,42,1
58,0,26,1
59,42,22,0
60,0,30,1
61,37,27,0
62,34,30,0
63,12,52,1
64,43,21,0
65,37,27,0
66,43,21,0
67,15,49,1
68,18,46,1
69,32,32,0
70,15,48,1
71,31,33,1
72,49,15,0
73,32,32,0
74,32,32,0
75,31,33,1
76,29,35,1
77,40,24,0
78,24,40,1
79,6,57,1
80,17,47,1
81,39,25,0
82,46,18,0
83,11,53,1
84,37,27,0
85,32,32,0
86,10,54,1
87,29,35,1
88,20,44,1
89,42,22,0
90,38,26,0
91,41,23,0
92,38,26,0
93,44,20,0
94,41,23,0
95,33,31,0
96,23,41,1
97,18,46,1
98,22,42,1
99,33,31,0
100,31,33,1
101,23,41,1
102,25,39,1
103,37,27,0
104,18,46,1
105,25,39,1
106,45,19,0
107,32,32,0
108,35,29,0
109,38,26,0
110,39,25,0
111,29,35,1
112,32,32,0
113,37,27,0
114,41,23,0
115,44,20,0
116,23,41,1
117,15,49,1
118,44,20,0
119,36,28,0
120,32,32,0
121,27,37,1
122,39,25,0
123,35,29,0
124,40,24,0
125,18,46,1
126,40,24,0
127,51,13,0
128,38,26,0
129,26,38,1
130,21,43,1
131,47,17,0
132,31,33,1
133,43,21,0
134,30,34,1
135,0,28,1
136,30,34,1
137,26,38,1
138,28,36,1
139,29,35,1
140,21,43,1
141,33,31,0
142,35,29,0
143,19,45,1
144,0,32,1
145,32,32,0
146,21,43,1
147,39,25,0
148,46,18,0
149,27,37,1
150,22,42,1
151,35,29,0
152,47,17,0
153,16,48,1
154,35,29,0
155,1,41,1
156,23,41,1
157,20,44,1
158,0,24,1
159,29,35,1
160,34,30,0
161,25,39,1
162,21,43,1
163,34,30,0
164,21,43,1
