Game Number,Player 1 Score,Player 2 Score,Player 2 Win
1,21,43,1
2,39,25,0
3,31,33,1
4,20,44,1
5,34,30,0
6,34,30,0
7,48,16,0
8,33,31,0
9,45,19,0
10,32,32,0
11,27,37,1
12,38,26,0
13,32,32,0
14,29,35,1
15,37,27,0
16,31,33,1
17,26,38,1
18,25,39,1
19,21,43,1
20,41,23,0
21,33,31,0
22,22,42,1
23,48,16,0
24,43,21,0
25,45,19,0
26,32,32,0
27,23,41,1
28,30,34,1
29,28,36,1
30,33,31,0
31,22,42,1
32,34,30,0
33,42,22,0
34,24,40,1
35,44,20,0
36,24,40,1
37,48,16,0
38,45,19,0
39,47,17,0
40,32,32,0
41,29,35,1
42,44,20,0
43,47,17,0
44,32,32,0
45,40,24,0
46,32,32,0
47,35,29,0
48,42,22,0
49,42,22,0
50,24,40,1
51,35,29,0
52,25,39,1
53,45,19,0
54,24,40,1
55,34,30,0
56,49,15,0
57,31,33,1
58,37,27,0
59,37,27,0
60,34,30,0
61,37,27,0
62,47,17,0
63,35,29,0
64,22,42,1
65,28,36,1
66,36,28,0
67,43,21,0
68,48,16,0
69,26,38,1
70,29,35,1
71,24,40,1
72,38,26,0
73,20,44,1
74,28,36,1
75,29,35,1
76,26,38,1
77,21,43,1
78,52,12,0
79,19,45,1
80,26,38,1
81,21,43,1
82,38,26,0
83,28,36,1
84,39,25,0
85,22,42,1
86,22,42,1
87,37,27,0
88,35,29,0
89,17,47,1
90,39,25,0
91,30,34,1
92,22,42,1
93,28,36,1
94,27,37,1
95,22,42,1
96,36,28,0
97,19,45,1
98,16,48,1
99,29,35,1
100,18,46,1
101,32,32,0
102,28,36,1
103,37,27,0
104,15,49,1
105,30,34,1
106,40,24,0
107,26,38,1
108,38,26,0
109,35,29,0
110,21,43,1
111,22,42,1
112,25,39,1
113,31,33,1
114,31,33,1
115,42,22,0
116,39,25,0
117,50,14,0
118,24,40,1
119,28,36,1
120,14,50,1
121,29,35,1
122,44,20,0
123,34,30,0
124,33,31,0
125,24,40,1
126,35,29,0
127,38,26,0
128,34,30,0
129,29,35,1
130,26,38,1
131,32,32,0
132,15,49,1
133,43,21,0
134,31,33,1
135,41,23,0
136,36,28,0
137,36,28,0
138,26,38,1
139,55,9,0
140,21,43,1
141,22,42,1
142,23,41,1
143,23,41,1
144,8,56,1
145,40,24,0
146,28,36,1
147,24,40,1
148,19,45,1
149,28,36,1
150,30,34,1
151,27,37,1
152,28,36,1
153,33,31,0
154,31,33,1
155,48,16,0
156,24,40,1
157,44,20,0
158,42,22,0
159,34,30,0
160,16,48,1
161,40,24,0
162,34,30,0
163,33,31,0
164,27,37,1
165,22,42,1
166,38,26,0
167,29,35,1
168,33,31,0
169,39,25,0
170,24,40,1
171,26,38,1
172,28,36,1
173,26,38,1
174,33,31,0
175,32,32,0
176,37,27,0
177,51,13,0
178,23,41,1
179,27,37,1
180,27,37,1
181,21,43,1
182,24,40,1
183,16,48,1
184,16,48,1
185,37,27,0
186,39,25,0
187,36,28,0
188,26,38,1
189,38,26,0
190,37,27,0
191,29,35,1
192,23,41,1
193,34,30,0
194,45,19,0
195,36,28,0
196,24,40,1
197,25,39,1
198,44,20,0
199,32,32,0
200,56,8,0
201,26,38,1
202,29,35,1
203,36,28,0
204,35,29,0
205,38,26,0
206,36,28,0
207,34,30,0
208,45,19,0
209,32,32,0
210,28,36,1
211,39,25,0
212,35,29,0
213,33,31,0
214,39,25,0
215,27,37,1
216,28,36,1
217,17,47,1
218,12,52,1
219,35,29,0
220,23,41,1
221,35,29,0
222,21,43,1
223,28,36,1
224,41,23,0
225,41,23,0
226,16,48,1
227,27,37,1
228,38,26,0
229,40,24,0
230,27,37,1
231,12,52,1
232,32,32,0
233,23,41,1
234,35,29,0
235,34,30,0
236,28,36,1
237,34,30,0
238,43,21,0
239,43,21,0
240,28,36,1
241,19,45,1
242,25,39,1
243,36,28,0
244,31,33,1
245,32,32,0
246,36,28,0
247,35,29,0
248,32,32,0
249,26,38,1
250,26,38,1
251,44,20,0
252,32,32,0
253,20,44,1
254,28,36,1
255,33,31,0
256,28,36,1
257,31,33,1
258,37,27,0
259,30,34,1
260,36,28,0
261,45,19,0
262,43,21,0
263,18,46,1
264,36,28,0
265,46,18,0
266,42,22,0
267,50,13,0
268,45,19,0
269,56,8,0
270,36,28,0
271,33,31,0
272,17,47,1
273,38,26,0
274,20,44,1
275,24,40,1
276,42,22,0
277,36,28,0
278,24,40,1
279,37,27,0
280,22,42,1
281,19,45,1
282,23,41,1
283,46,18,0
284,35,29,0
285,22,42,1
286,30,34,1
287,15,49,1
288,25,39,1
289,42,22,0
290,42,22,0
291,25,39,1
292,39,25,0
293,35,29,0
294,26,38,1
295,26,38,1
296,17,47,1
297,45,19,0
298,35,29,0
299,33,31,0
300,17,47,1
301,36,28,0
302,41,23,0
303,27,37,1
304,26,38,1
305,37,27,0
306,28,36,1
307,45,19,0
308,31,33,1
309,30,34,1
310,38,26,0
311,34,30,0
312,38,26,0
313,39,24,0
314,19,45,1
315,35,29,0
316,29,35,1
317,47,17,0
318,49,15,0
319,34,30,0
320,20,44,1
321,28,36,1
322,32,32,0
323,39,25,0
324,46,18,0
325,46,18,0
326,29,35,1
327,14,50,1
328,30,34,1
329,49,15,0
330,20,44,1
331,35,29,0
332,26,38,1
333,46,18,0
334,60,4,0
335,39,25,0
336,26,38,1
337,29,35,1
338,27,37,1
339,35,29,0
340,34,30,0
341,44,20,0
342,19,45,1
343,32,32,0
344,19,45,1
345,25,39,1
346,24,40,1
347,37,27,0
348,45,19,0
349,27,37,1
350,42,22,0
351,37,27,0
352,40,24,0
353,25,39,1
354,38,26,0
355,46,18,0
356,37,27,0
357,29,35,1
358,31,33,1
359,30,34,1
360,33,31,0
361,31,33,1
362,16,48,1
363,42,22,0
364,39,25,0
365,42,22,0
366,34,30,0
367,31,33,1
368,43,21,0
369,41,23,0
370,31,33,1
371,20,44,1
372,48,16,0
373,23,41,1
374,31,33,1
375,32,32,0
376,20,44,1
377,28,36,1
378,33,31,0
379,34,30,0
380,37,27,0
381,32,32,0
382,39,25,0
383,48,16,0
384,21,43,1
385,25,39,1
386,38,26,0
387,47,17,0
388,27,37,1
389,35,29,0
390,22,42,1
391,40,24,0
392,24,40,1
393,28,36,1
394,30,34,1
395,50,14,0
396,37,27,0
397,31,33,1
398,33,31,0
399,10,54,1
400,27,37,1
401,30,34,1
402,24,40,1
403,33,31,0
404,20,44,1
405,32,32,0
406,19,45,1
407,49,15,0
408,25,39,1
409,25,39,1
410,28,36,1
411,33,31,0
412,29,35,1
413,18,46,1
414,34,30,0
415,28,36,1
416,17,47,1
417,33,31,0
418,21,43,1
419,42,22,0
420,34,30,0
421,7,57,1
422,26,38,1
423,21,43,1
424,21,43,1
425,45,19,0
426,35,29,0
427,43,21,0
428,42,22,0
429,41,23,0
430,21,43,1
431,29,35,1
432,24,40,1
433,27,37,1
434,29,35,1
435,28,36,1
436,40,24,0
